"run","metric","phase_count","clean_spikes","label1","dominant1","label2","dominant2","label3","dominant3","label4","dominant4","max_label1","max1_cy","max_label2","max2_cy","max_label3","max3_cy","max_label4","max4_cy"
"1","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"1","queue_wake_latency_clean_breakdown","2","27","unblock","0","resume","27",,,,,"unblock","245","resume","940",,,,
"1","queue_end_to_end_latency_clean_breakdown","4","27","send","0","unblock","0","resume","27","recv","0","send","72","unblock","245","resume","1046","recv","92"
"2","tim2_irq_to_task_clean_breakdown","2","28","unblock","0","resume","28",,,,,"unblock","256","resume","939",,,,
"2","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"2","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"3","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"3","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"3","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"4","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"4","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"4","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"5","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"5","queue_wake_latency_clean_breakdown","2","27","unblock","0","resume","27",,,,,"unblock","245","resume","947",,,,
"5","queue_end_to_end_latency_clean_breakdown","4","27","send","0","unblock","0","resume","27","recv","0","send","72","unblock","245","resume","1053","recv","92"
"6","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"6","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"6","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"7","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"7","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"7","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"8","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"8","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"8","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"9","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"9","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"9","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"10","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"10","queue_wake_latency_clean_breakdown","2","26","unblock","0","resume","26",,,,,"unblock","245","resume","937",,,,
"10","queue_end_to_end_latency_clean_breakdown","4","26","send","0","unblock","0","resume","26","recv","0","send","72","unblock","245","resume","1043","recv","92"
